,user_id,poolSymbol,tokenAmount_real_usd
64,0x01c6248a9F95D59B4A30A2408F94d6e682094622,bnt,221.72228212265145
65,0x01ebce016681D076667BDb823EBE1f76830DA6Fa,bnt,34179.49968801304
67,0x02144663aEdB916eAFE7B72455AFbf61a754b102,eth,34375.41419071548
68,0x022E3cE4EdA264B3e3FEf62036c8182cEb88e6Ce,bnt,26610.952254772725
70,0x022ee3f4a33Ee8b7aA415D36a0C62aDBC8D6A2b8,bnt,3343.4173923173184
71,0x022ee3f4a33Ee8b7aA415D36a0C62aDBC8D6A2b8,link,52559.47268480113
72,0x0230D420819B2654845Fb9c570AC53C969b6c386,bnt,3140.4044829279446
73,0x023367F713780aC6E123e5C461623377A2F82EE6,enj,7626.386653653381
74,0x023367F713780aC6E123e5C461623377A2F82EE6,matic,9394.255837947514
75,0x02479693494686F6f1011C09a5885648f7A6DA55,bnt,83.68134600165541
76,0x02479693494686F6f1011C09a5885648f7A6DA55,link,591414.5763101105
77,0x0269564e23927c1E0Fbd30eb4330A0771bA479E4,eth,1902.7134046735855
78,0x026F6F9374C8440e67a3ce97a3406963aC940813,bnt,2524.764113463121
79,0x028E19c197CD1Fd5AA7F862B3cBc4a634088986e,bnt,5461.018893399985
80,0x02B0Bf199774446cf9415F27834D5d2F88EaF452,link,46069.421708154565
81,0x02B60a6Af7eCECe8A73c9c762bf611994ba5D430,bnt,322.7330437745702
84,0x02DDAbdf46a2dBCd4E075f388BAD958C5DB91fD5,bnt,2202.156492549144
85,0x02DDAbdf46a2dBCd4E075f388BAD958C5DB91fD5,link,125012.27406280646
86,0x02DFAf36DBdaad6be43c44974f80b92f8d4959F3,bnt,3296.572576812366
87,0x02DFAf36DBdaad6be43c44974f80b92f8d4959F3,link,113025.62283379585
89,0x02ECA8cC78b7D30c1Ac5E16988ED2C8A9Da658d6,bnt,577253.8112081425
91,0x02cE5adA7287E7dd8855BbeB5dEa71F7c0fB6830,bnt,1646.597524406786
92,0x02cE5adA7287E7dd8855BbeB5dEa71F7c0fB6830,link,48057.011771302045
93,0x02e4251Bc668A129Cc1482d47F05c1d73BEB3ede,bnt,2075.731924955807
94,0x02e4251Bc668A129Cc1482d47F05c1d73BEB3ede,link,5081.377994598719
95,0x030642D1680EFf7412463410583C88c3312770F4,bnt,33.564884119208905
96,0x03104c9661f97a1a882a797964F46d968D518126,eth,219143.42978391677
97,0x032ade653b7D6AbE56De3D12E2a474b40FA31d89,bnt,3046.2243972597444
98,0x032ade653b7D6AbE56De3D12E2a474b40FA31d89,link,26911.086615317377
99,0x033FFcf5d843a16da224F62B5CB1c4980310F796,bnt,2965.9173846237254
100,0x034e1f7A66b582B68E511B325ED0cCB71bb4bc12,bnt,368.5552412897248
101,0x0351179D69Bc968b9920C13B16645B554b225275,bnt,180.88000472417187
102,0x0351179D69Bc968b9920C13B16645B554b225275,eth,0.0
103,0x0355eb92e1c2FfD02a2161D1890128750547201A,bnt,5054.937348390749
105,0x03624548CC8410bD5c8C043264E289ee01343D03,eth,60555.10824509575
106,0x036F2DACf33EA6FB436257b1DF4670dE25e4a8CF,bnt,5063.82824764037
107,0x036f762b150aFBf6711BD12E5C3D4951bE263c6f,bnt,3217.8636751118415
109,0x036fB0D38C70509Ca02BD310dc7FBF16900ef815,ren,24313.03670788628
110,0x0389Fe635C952E71A3463687D0Ee57012EA0A683,bnt,53377.650111920026
111,0x0398132ae21B763a7267033e6F793f59bF42705D,bnt,2825.4336542134856
112,0x0398132ae21B763a7267033e6F793f59bF42705D,link,167691.0765021238
113,0x03984e19e197cad104f8B61978AC483e4B20535a,bnt,1526833.1951541684
114,0x03A1a0EE0e2a14bd069c8691a4adEAbFa6a4d709,bnt,318434.0044296102
115,0x03A1a0EE0e2a14bd069c8691a4adEAbFa6a4d709,eth,0.0
117,0x03AA1134143A3C0163fa0f73d8108F5ac88253BE,bnt,174588.26569212205
119,0x03AA1134143A3C0163fa0f73d8108F5ac88253BE,link,39053.447185701065
122,0x03Ad371c59Ce81314F7E3F85945E2c9A754917Bd,bnt,2203.444417564111
123,0x03C1c42384Bfe33bb243FCe2479490e4ac58B532,bnt,927.5066108269788
124,0x03C1c42384Bfe33bb243FCe2479490e4ac58B532,eth,256770.7905487912
126,0x03a5A0Cf1c08a273484a13808BB1D6e4CF7e5629,bnt,94.7761307601874
128,0x03b803567db5E11b91df3e026Fb7Aa18c5Ac22CE,bnt,752.2341050217262
129,0x03bAda9FF1Cf0D0264664B43977ED08fEee32584,bnt,43517.64665352511
130,0x03d3958127141e6cD85ce999e7D04f268f9a6C31,bnt,3016.404422859079
131,0x03f1C2CDc2646b4cEd7Bcf2C4A9824741Eb66958,eth,275191.00240193325
132,0x03f1C2CDc2646b4cEd7Bcf2C4A9824741Eb66958,link,229409.010805322
134,0x0400083c67Fd63dB5F1ae087EFd9583430B663Cf,bnt,21.60436836390889
135,0x0400083c67Fd63dB5F1ae087EFd9583430B663Cf,link,866.6848839542084
136,0x04029a7f5ffee2cB3220A893f93e008b4b4943cC,bnt,430.5215598549007
137,0x0420249d936BDcc65c6304a38169bf4F3A248b04,eth,8466.812986349212
138,0x043eD3a18E640E5Cc6Ec571db07Fa7a440234D74,bat,681.3253796519472
139,0x043eD3a18E640E5Cc6Ec571db07Fa7a440234D74,enj,1453.7282208405989
140,0x043eD3a18E640E5Cc6Ec571db07Fa7a440234D74,eth,1204.5940504530067
141,0x04417082dB41956eEa15901bF3376c909e0eCe1E,bnt,30885.66105783665
142,0x0451a9CA9Ff92E10A0673B3672F48784a358510F,bnt,2722.1032755693454
